ID,ID_POSTE,ESPECIE,LATITUDE,LONGITUDE,ALTURA(m),Image_Path
AR158,218273258,CAJUEIRO,-11.084406,-37.158419,10,data/imagem/AR158_158.jpg
AR161,29441840,CAJUEIRO,-11.089633,-37.139907,"6,1",data/imagem/AR161_161.jpg
AR165,263132045,CAJUEIRO,-11.087406,-37.139347,10,data/imagem/AR165_165.jpg
AR176,29530739,CAJUEIRO,-11.082434,-37.135771,9,data/imagem/AR176_176.jpg
AR178,29400418,CAJUEIRO,-11.084886,-37.135606,8,data/imagem/AR178_178.jpg
AR181,29291864,CAJUEIRO,-11.089407,-37.148972,10,data/imagem/AR181_181.jpg
AR184,29272336,CAJUEIRO,-11.083821,-37.149588,5,data/imagem/AR184_184.jpg
AR185,226564430,CAJUEIRO,-11.081646,-37.147791,11,data/imagem/AR185_185.jpg
AR187,256575089,CAJUEIRO,-11.084964,-37.152012,7,data/imagem/AR187_187.jpg
AR188,29397534,CAJUEIRO,-11.083067,-37.151103,5,data/imagem/AR188_188.jpg
AR207,29252332,CAJUEIRO,-11.059914,-37.132606,11,data/imagem/AR207_207.jpg
AR218,29292893,CAJUEIRO,-11.069366,-37.142242,"7,5",data/imagem/AR218_218.jpg
AR230,29457519,CAJUEIRO,-11.08064,-37.130854,6,data/imagem/AR230_230.jpg
AR237,29213990,CAJUEIRO,-11.066804,-37.134189,"8,5",data/imagem/AR237_237.jpg
AR245,29293180,CAJUEIRO,-11.070749,-37.14265,"6,5",data/imagem/AR245_245.jpg
AR251,29397786,CAJUEIRO,-11.100026,-37.149506,7,data/imagem/AR251_251.jpg
AR256,29397884,CAJUEIRO,-11.101734,-37.146797,11,data/imagem/AR256_256.jpg
AR268,29397686,CAJUEIRO,-11.094773,-37.145947,5,data/imagem/AR268_268.jpg
AR278,29293678,CAJUEIRO,-11.107533,-37.150458,7,data/imagem/AR278_278.jpg
AR318,241829500,CAJUEIRO,-11.063268,-37.116552,12,data/imagem/AR318_318.jpg
AR322,230626450,CAJUEIRO,-11.092262,-37.136739,7,data/imagem/AR322_322.jpg
AR323,230626450,CAJUEIRO,-11.092332,-37.136692,7,data/imagem/AR323_323.jpg
AR343,29538995,CAJUEIRO,-11.101923,-37.144823,5,data/imagem/AR343_343.jpg
AR1489,29375459,SERIGUELA,-10.879461,-37.187008,5,data/imagem/AR1489_1489.jpg
AR2013,257708714,SERIGUELA,-11.046604,-37.146663,5,data/imagem/AR2013_2013.jpg
AR6961,161999771,SERIGUELA,-10.723818,-37.324955,6,data/imagem/AR6961_6961.jpg
AR6997,29475105,SERIGUELA,-10.713763,-37.311437,6,data/imagem/AR6997_6997.jpg
AR6026,29378912,FIGUEIRA,-10.786995,-37.051295,5,data/imagem/AR6026_6026.jpg
AR6090,29379705,FIGUEIRA,-10.781206,-37.060028,7,data/imagem/AR6090_6090.jpg
