MRID,FAVORITE,NOM_POPULAR,DSC_NOME,VLR_CLIMATICA,VEL_CRESCIMENTO,DSC_CRESCIMENTO,DIM_TRONCO_NOVO,DIM_TRONCO_ANTIGO,DSC_CRESCIMENTO_1,DSC_CRESCIMENTO_2,DSC_CRESCIMENTO_3,DSC_CRESCIMENTO_4,DSC_CRESCIMENTO_5,DSC_CRESCIMENTO_6,DSC_CRESCIMENTO_7,DSC_CRESCIMENTO_8,DSC_CRESCIMENTO_9,DSC_CRESCIMENTO_10,DSC_CRESCIMENTO_11,DSC_CRESCIMENTO_12,DENSITY
1,0,NAO ESPECIFICADO,GENERICA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,2","0,3",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
11,0,ALFENEIRO,LIGUSTRUM LUCIDUM,"Tropical,Subtropical",Rapido,Perene,"0,2","0,48",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
12,0,AMENDOIM BRAVO,PLATYPODIUM ELEGANS,"Equatorial,Tropical,Subtropical",Lento,Semi,"0,2","0,5",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
13,0,AMENDOIM DO CAMPO,PLATYPODIUM ELEGANS,"Equatorial,Tropical,Subtropical",Lento,Semi,"0,2","0,48",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
14,0,ANGICO-VERMELHO,ANADENANTHERA COLUBRINA,"Temperado,Tropical,Subtropical",Lento,Sazonal,"0,15","0,32",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
15,0,ARAUCARIA,ARAUCARIA ANGUSTIFOLIA,"Temperado,Subtropical",Rapido,Perene,"0,3","1,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
16,0,AROEIRA-BRANCA,LITHRAEA MOLLEOIDES,"Equatorial,Tropical,Subtropical",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
17,0,AROEIRA SALSA,SCHINUS MOLLE,"Equatorial,Tropical,Subtropical",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
18,0,BONIFACIO,MAPROUNEA GUIANENSIS,"Equatorial,Tropical,Subtropical",Lento,Sazonal,"0,1","0,32",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
19,0,CAJUEIRO,ANACARDIUM OCCIDENTALE,"Equatorial,Arido,Tropical,Subtropical,Litoraneo",Lento,Perene,"0,25","0,56",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
20,0,CANAFISTULA,PELTOPHORUM DUBIUM,"Equatorial,Tropical,Subtropical",Rapido,Semi,"0,3","0,72",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
21,0,CANELINHA,NECTANDRA MEGAPOTAMICA,"Temperado,Tropical,Subtropical",Rapido,Perene,"0,2","0,4",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
22,0,CHA-DE-BUGRE,CORDIA SALICIFOLIA,"Temperado,Tropical,Subtropical",Medio,Perene,"0,1","0,32",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
23,0,CEDRO,CEDRELA FISSILIS,"Equatorial,Tropical,Subtropical",Rapido,Sazonal,"0,3","0,56",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
24,0,ESPATODEA,SPATHODEA CAMPANULATA,"Equatorial,Tropical,Subtropical",Rapido,Sazonal,"0,25","0,4",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
25,0,EUCALIPTO,EUCALYPTUS GLOBULUS,"Equatorial,Tropical,Subtropical",Rapido,Perene,"0,3","0,8",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
26,0,FARINHA SECA,ALBIZIA NIOPOIDES,"Temperado,Tropical,Subtropical",Lento,Semi,"0,25","0,56",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
27,0,FICUS,FICUS SP.,"Equatorial,Tropical,Subtropical",Rapido,Perene,"0,4","0,8",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
28,0,FLAMBOYANT,DELONIX REGIA,"Equatorial,Tropical,Subtropical",Rapido,Semi,"0,2","0,8",Reprodutivo,Vegetativo,Vegetativo,Vegetativo,Repouso,Repouso,Repouso,Vegetativo,Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,
29,0,GUAJUVIRA,CORDIA AMERICANA,"Equatorial,Tropical,Subtropical",Rapido,Sazonal,"0,25","0,56",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
30,0,INGA,INGA SP.,"Equatorial,Tropical,Subtropical",Rapido,Semi,"0,25","0,56",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
31,0,INGA FERRADURA,INGA SESSILIS,"Equatorial,Tropical,Subtropical",Rapido,Semi,"0,25","0,56",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
