MRID,FAVORITE,NOM_POPULAR,DSC_NOME,VLR_CLIMATICA,VEL_CRESCIMENTO,DSC_CRESCIMENTO,DIM_TRONCO_NOVO,DIM_TRONCO_ANTIGO,DSC_CRESCIMENTO_1,DSC_CRESCIMENTO_2,DSC_CRESCIMENTO_3,DSC_CRESCIMENTO_4,DSC_CRESCIMENTO_5,DSC_CRESCIMENTO_6,DSC_CRESCIMENTO_7,DSC_CRESCIMENTO_8,DSC_CRESCIMENTO_9,DSC_CRESCIMENTO_10,DSC_CRESCIMENTO_11,DSC_CRESCIMENTO_12,DENSITY
109,0,SANSÃO DO CAMPO,MIMOSA CAESALPINIFOLIA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
110,0,SANSÃO DO CAMPO (CERCA-VIVA),MIMOSA CAESALPINIFOLIA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
111,0,SAPUCAIA,LECYTHIS PISONIS,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
112,0,SETE CASCAS,SAMANEA INOPNATA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
113,0,TRIPLARIS,TRIPLARIS AMERICANA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
114,0,TUIA,CUPRESSUS SP.,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
115,0,URUCUM,BIXA ORELLANA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
42,0,MUNGUBA,PACHIRA AQUATICA,"Equatorial,Tropical,Subtropical",Rapido,Perene,"0,4","0,48",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
43,0,OITI,LICANIA TOMENTOSA,"Equatorial,Tropical,Subtropical",Lento,Perene,"0,3","0,56",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
44,0,ORELHA DE MACACO,ENTEROLOBIUM CONTORTISILIQUUM,"Equatorial,Tropical,Subtropical",Rapido,Sazonal,"0,3","0,72",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
45,0,PALMEIRA IMPERIAL,ROYSTONEA OLERACEA,"Equatorial,Tropical,Subtropical,Litoraneo",Palmeira,Perene,"0,2","0,48",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
46,0,PALMEIRA,PALMEIRA,"Equatorial,Tropical,Subtropical,Litoraneo",Palmeira,Perene,"0,15","0,32",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
47,0,PALMEIRA-CARIOTA,CARYOTA MITIS,"Equatorial,Tropical,Subtropical,Litoraneo",Palmeira,Perene,"0,15","0,32",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
48,0,BAUHÍNIA,BAUHINIA FORFICATA,"Equatorial,Tropical,Subtropical",Rapido,Semi,"0,1","0,32",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
49,0,PAU-AMENDOIM,PTEROGYNE NITENS,"Tropical,Subtropical",Medio,Semi,"0,25","0,56",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
50,0,PAU-DE-FACHO,APARISTHMIUM CORDATUM,"Equatorial,Tropical,Subtropical",Rapido,Sazonal,"0,3","0,72",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
51,0,PAU FERRO,CAESALPINIA LEIOSTACHYA,"Equatorial,Tropical,Subtropical",Medio,Semi,"0,25","0,48",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
52,0,QUARESMEIRA,TIBOUCHINA GRANULOSA,"Tropical,Subtropical",Rapido,Semi,"0,2","0,32",Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Repouso,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
53,0,RESEDA,LAGERSTROEMIA INDICA,"Litoraneo,Temperado,Tropical,Subtropical",Lento,Sazonal,"0,15","0,24",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
54,0,SARANDI,TERMINALIA AUSTRALIS,"Temperado,Tropical,Subtropical",Lento,Sazonal,"0,1","0,32",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
55,0,SERIGUELA,SPONDIAS PURPUREA,"Equatorial,Litoraneo,Tropical,Subtropical",Rapido,Sazonal,"0,25","0,56",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
56,0,CASTANHEIRA,TERMINALIA CATAPPA,"Equatorial,Litoraneo,Tropical,Subtropical",Rapido,Sazonal,"0,4","0,8",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
86,0,EMBIRIÇU,PSEUDOBOMBAX GRANDIFLORUM,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
87,0,ERITHRINA,ERUTHRYNA SP.,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
88,0,ESCUMILHA AFRICANA,LAGERSTROEMIA SPECIOSA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
